,image,x,y,w,h,label
0,ball0040.jpg,200.34,113.73,45.13,45.59,7
1,ball0037.jpg,202.39,113.73,44.68,45.59,7
2,ball0254.jpg,203.3,113.73,44.68,45.13,7
3,ball0300.jpg,203.3,114.19,44.68,44.9,7
4,ball0021.jpg,201.94,114.19,45.35,45.58,7
5,ball0092.jpg,201.94,115.78,45.13,44.9,7
6,ball0396.jpg,201.71,115.78,45.36,45.36,7
7,ball0277.jpg,201.03,116.24,45.35,45.36,7
8,ball0424.jpg,201.03,116.47,44.67,46.27,7
9,ball0538.jpg,200.34,116.47,45.13,46.95,7
10,ball0509.jpg,200.34,117.61,44.67,46.49,7
11,ball0054.jpg,199.89,117.83,44.44,46.27,7
12,ball0522.jpg,199.43,118.52,44.67,46.49,7
13,ball0094.jpg,198.97,119.43,44.22,46.04,7
14,ball0005.jpg,198.29,119.89,44.22,46.49,7
15,ball0169.jpg,198.06,119.89,44.45,46.26,7
16,ball0447.jpg,196.92,120.34,45.59,46.5,7
17,ball0041.jpg,196.92,121.25,44.9,46.27,7
18,ball0340.jpg,196.92,121.48,44.9,46.04,7
19,ball0130.jpg,196.24,122.17,45.36,46.04,7
20,ball0177.jpg,196.24,122.17,44.44,46.95,7
21,ball0024.jpg,196.24,122.17,44.22,46.95,7
22,ball0422.jpg,196.24,122.85,44.44,46.27,7
23,ball0317.jpg,195.1,123.3,44.67,46.5,7
24,ball0386.jpg,194.87,123.53,44.45,46.27,7
25,ball0228.jpg,194.87,123.53,44.45,46.27,7
26,ball0578.jpg,194.19,123.76,44.44,46.27,7
27,ball0026.jpg,193.28,123.99,45.12,46.95,7
28,ball0179.jpg,193.05,123.99,44.9,46.95,7
29,ball0173.jpg,193.05,123.99,44.21,46.95,7
30,ball0563.jpg,192.36,123.53,44.68,46.04,7
31,ball0139.jpg,191.91,123.3,44.22,46.04,7
32,ball0192.jpg,191.91,122.39,44.44,46.5,7
33,ball0451.jpg,191.22,121.71,44.68,47.18,7
34,ball0411.jpg,190.77,121.25,44.67,46.5,7
35,ball0194.jpg,190.77,121.48,44.67,46.04,7
36,ball0567.jpg,190.54,121.03,44.9,46.26,7
37,ball0341.jpg,190.31,121.48,44.45,46.27,7
38,ball0363.jpg,190.31,121.48,44.22,46.04,7
39,ball0406.jpg,190.09,122.17,44.44,46.26,7
40,ball0564.jpg,190.09,122.17,44.44,46.26,7
41,ball0377.jpg,190.31,121.71,44.22,46.95,7
42,ball0325.jpg,190.31,121.71,44.22,46.95,7
43,ball0559.jpg,190.09,122.17,44.67,46.26,7
44,ball0212.jpg,190.54,122.17,44.45,46.49,7
45,ball0268.jpg,190.54,122.17,44.45,46.72,7
46,ball0318.jpg,190.31,123.53,44.22,45.81,7
47,ball0599.jpg,190.09,123.53,44.44,45.59,7
48,ball0237.jpg,190.09,123.76,44.44,46.04,7
49,ball0455.jpg,189.63,123.76,44.44,46.27,7
50,ball0472.jpg,189.17,123.76,44.68,46.5,7
51,ball0569.jpg,189.17,123.76,44.68,46.5,7
52,ball0071.jpg,189.17,123.99,44.22,46.04,7
53,ball0329.jpg,189.17,123.99,44.22,46.04,7
54,ball0278.jpg,188.03,125.81,45.59,45.59,7
55,ball0165.jpg,187.58,125.58,44.21,46.73,7
56,ball0076.jpg,186.44,125.58,44.67,46.96,7
57,ball0464.jpg,186.21,126.04,44.22,46.5,7
58,ball0381.jpg,185.98,125.81,44.22,46.95,7
59,ball0313.jpg,185.98,125.81,44.68,46.95,7
60,ball0131.jpg,185.07,125.81,44.45,46.95,7
61,ball0110.jpg,183.48,125.81,44.67,46.5,7
62,ball0408.jpg,180.74,127.41,43.99,45.58,7
63,ball0579.jpg,177.55,127.41,43.76,46.72,7
64,ball0589.jpg,174.36,132.42,43.99,43.08,7
65,ball0585.jpg,170.26,132.42,44.67,44.9,7
66,ball0531.jpg,165.93,131.97,46.26,46.72,7
67,ball0468.jpg,161.82,133.11,47.64,46.95,7
68,ball0383.jpg,157.95,134.24,47.41,48.55,7
69,ball0366.jpg,153.16,135.61,48.09,48.78,7
70,ball0403.jpg,150.43,136.75,45.81,49.01,7
71,ball0469.jpg,145.41,139.26,49.01,49.0,7
72,ball0308.jpg,141.31,141.54,49.23,50.37,7
73,ball0206.jpg,137.21,142.91,49.68,49.23,7
74,ball0298.jpg,133.79,143.82,49.69,51.51,7
75,ball0176.jpg,129.23,144.96,50.14,51.05,7
76,ball0100.jpg,125.58,145.19,50.37,52.19,7
77,ball0412.jpg,123.53,144.5,50.83,52.88,7
78,ball0583.jpg,122.39,142.22,51.06,54.02,7
79,ball0554.jpg,122.17,140.17,52.42,54.02,7
80,ball0504.jpg,122.85,137.21,52.65,54.7,7
