,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,head box_x1,head box_y1,head box_x2,head box_y2,Category
0,015601864.jpg,620,394,616,269,573,185,647,188,661,221,656,231,-1,-1,647,176,-1,-1,-1,-1,606,217,553,161,601,167,692,185,693,240,688,313,627,100,706,198,sports
1,015601864.jpg,895,293,910,279,945,223,1012,218,961,315,960,403,-1,-1,-1,-1,-1,-1,-1,-1,871,304,883,229,888,174,924,206,1013,203,955,263,841,145,902,228,sports
2,015599452.jpg,-1,-1,-1,-1,806,543,720,593,-1,-1,-1,-1,763,568,-1,-1,-1,-1,-1,-1,563,296,555,410,647,281,719,299,711,516,545,466,607,70,752,255,sports
3,015599452.jpg,-1,-1,-1,-1,987,607,1194,571,-1,-1,-1,-1,1091,589,1038,292,-1,-1,-1,-1,-1,-1,955,470,931,315,1145,269,1226,475,1096,433,903,73,1070,263,sports
4,015599452.jpg,-1,-1,-1,-1,228,537,74,536,-1,-1,-1,-1,151,537,129,251,-1,-1,-1,-1,-1,-1,297,456,232,251,26,251,26,423,-1,-1,27,36,186,214,sports
5,005808361.jpg,804,711,816,510,908,438,1040,454,906,528,883,707,974,446,985,253,-1,-1,-1,-1,869,214,798,340,902,253,1067,253,1167,353,1142,478,914,79,1031,237,sports
6,005808361.jpg,667,633,675,462,567,519,375,504,-1,-1,-1,-1,471,512,463,268,-1,-1,-1,-1,702,267,721,386,584,256,341,280,310,432,372,496,427,66,549,221,sports
7,086617615.jpg,301,461,305,375,201,340,294,342,-1,-1,331,455,-1,-1,279,263,-1,-1,-1,-1,328,354,260,335,244,261,314,264,327,320,-1,-1,252,187,331,266,sports
8,086617615.jpg,515,512,514,420,406,388,392,360,-1,-1,518,504,-1,-1,498,317,-1,-1,-1,-1,628,426,551,398,501,351,495,282,425,301,483,334,510,265,580,343,sports
9,060111501.jpg,980,322,-1,-1,865,248,943,226,948,290,881,349,904,237,858,135,-1,-1,-1,-1,772,294,754,247,792,147,923,123,-1,-1,-1,-1,806,56,901,183,sports
